,Budget_Year-Month,Finance_Minister,Sentance,Polarity,sentiment,Sector,Topic
0,2010-2011 Month-02,Pranab Mukherjee,2009 when present the interim februari and the regular juli this august hous the indian economi was face grave uncertainti,-0.3818,Negative,Others,hous
1,2010-2011 Month-02,Pranab Mukherjee,growth had start decel and the busi sentiment was weak,-0.0772,Negative,Agriculture,growth
2,2010-2011 Month-02,Pranab Mukherjee,the economi capac sustain high growth was under serious threat from the widespread econom slowdown the develop world,-0.2732,Negative,Agriculture,growth
4,2010-2011 Month-02,Pranab Mukherjee,was not clear also the polici maker mani other countri how this crisi would eventu unfold,-0.2924,Negative,Others,growth
5,2010-2011 Month-02,Pranab Mukherjee,what would impact the growth momentum the indian economi,0.3818,Positive,Agriculture,growth
6,2010-2011 Month-02,Pranab Mukherjee,how soon will abl turnaround the fortun our economi,0.0,Neutral,Others,growth
7,2010-2011 Month-02,Pranab Mukherjee,the short term global outlook was bleak and the consensus was that 2009 would face the brunt this crisi across the world,0.0,Neutral,Others,provid
9,2010-2011 Month-02,Pranab Mukherjee,home there was uncertainti account the delay and subnorm southwest monsoon which had undermin the kharif crop the countri,-0.3182,Negative,Others,provid
10,2010-2011 Month-02,Pranab Mukherjee,there were concern about product and price food item and possibl repercuss the growth rural demand,0.2732,Positive,Agriculture,growth
12,2010-2011 Month-02,Pranab Mukherjee,today stand befor you can say with confid that have weather these crise well,0.2732,Positive,Others,growth
13,2010-2011 Month-02,Pranab Mukherjee,indian economi now far better posit than was ago,0.4404,Positive,Others,growth
14,2010-2011 Month-02,Pranab Mukherjee,that not say that the challeng today are ani less than what they were nine month ago when upa under the leadership mrs sonia gandhi was elect back power and prime minist manmohan singh form the for the second term,0.0,Neutral,Others,growth
16,2010-2011 Month-02,Pranab Mukherjee,the three challeng and the medium term perspect that had outlin last speech remain relev even today,0.0,Neutral,Others,growth
17,2010-2011 Month-02,Pranab Mukherjee,these would continu engag the indian policyplann for the next few,0.0,Neutral,Others,growth
19,2010-2011 Month-02,Pranab Mukherjee,the first challeng befor quick revert the high gdp growth path per and then find the mean cross the doubl digit growth barrier,0.5719,Positive,Agriculture,develop
20,2010-2011 Month-02,Pranab Mukherjee,this call for impart fresh momentum the impress recoveri growth wit the past few month,0.7783,Positive,Agriculture,provid
21,2010-2011 Month-02,Pranab Mukherjee,this endeavour seek lord indra help make the recoveri more broadba the come month,0.4019,Positive,Others,provid
23,2010-2011 Month-02,Pranab Mukherjee,growth import what enabl and,0.3818,Positive,Agriculture,bank
24,2010-2011 Month-02,Pranab Mukherjee,therefor the second challeng har econom growth consolid the recent gain make develop more inclus,0.7184,Positive,Agriculture,provid
